time	V(vcomp)
6.728179201969301e-07	2.530864e-02
6.728183578411873e-07	2.530867e-02
6.728192331297016e-07	2.530873e-02
6.728209837067302e-07	2.530886e-02
6.728454917851308e-07	2.531070e-02
6.733934964437364e-07	2.535171e-02
6.734100681068543e-07	2.535295e-02
6.734130811365122e-07	2.535317e-02
6.734170985093893e-07	2.535347e-02
6.734251332551435e-07	2.535407e-02
6.734258865125579e-07	2.535413e-02
6.734268908557772e-07	2.535420e-02
6.734288995422157e-07	2.535436e-02
6.734289623136669e-07	2.535436e-02
6.734290878565693e-07	2.535437e-02
6.734291192422949e-07	2.535437e-02
6.734291820137460e-07	2.535438e-02
6.734293075566484e-07	2.535439e-02
6.734295586424533e-07	2.535440e-02
6.734300608140629e-07	2.535444e-02
6.734300765069257e-07	2.535444e-02
6.734300804301415e-07	2.535444e-02
6.734300814109454e-07	2.535444e-02
6.734300833725532e-07	2.535444e-02
6.734300834338534e-07	2.535444e-02
6.734300834491784e-07	2.535444e-02
6.734300834798285e-07	2.535444e-02
6.734300834874911e-07	2.535444e-02
6.734300835028162e-07	2.535444e-02
6.734300835334663e-07	2.535444e-02
6.734300835411289e-07	2.535444e-02
6.734300835430445e-07	2.535444e-02
6.734300835468758e-07	2.535444e-02
6.734300835545383e-07	2.535444e-02
6.734300835698634e-07	2.535444e-02
6.734300836005135e-07	2.535444e-02
6.734300836618137e-07	2.535444e-02
6.734300836637294e-07	2.535444e-02
6.734300836675606e-07	2.535444e-02
6.734300836685606e-07	2.535444e-02
6.734300836705606e-07	2.535444e-02
6.734300836745606e-07	2.535444e-02
6.734300836825606e-07	2.535444e-02
6.734300836985606e-07	2.535444e-02
6.734300837305606e-07	2.535444e-02
6.734300837945606e-07	2.535444e-02
6.734300839225606e-07	2.535444e-02
6.734300841785606e-07	2.535444e-02
6.734300846905606e-07	2.535444e-02
6.734300857145607e-07	2.535444e-02
6.734300877625606e-07	2.535444e-02
6.734310165305605e-07	2.535451e-02
6.734310175545606e-07	2.535451e-02
6.734310176505605e-07	2.535451e-02
6.734310177785605e-07	2.535451e-02
6.734310180345606e-07	2.535451e-02
6.734310180985606e-07	2.535451e-02
6.734310182265606e-07	2.535451e-02
6.734310182585606e-07	2.535451e-02
6.734310183225606e-07	2.535451e-02
6.734310184505606e-07	2.535451e-02
6.734310187065606e-07	2.535451e-02
6.734310187705606e-07	2.535451e-02
6.734310188985607e-07	2.535451e-02
6.734310191545607e-07	2.535451e-02
6.734310196665607e-07	2.535451e-02
6.734310227385607e-07	2.535451e-02
6.734310268345607e-07	2.535451e-02
6.734310514105606e-07	2.535452e-02
6.741675506815760e-07	2.540968e-02
6.749040499525915e-07	2.546491e-02
6.756405492236069e-07	2.552021e-02
6.763770484946223e-07	2.557559e-02
6.771135477656377e-07	2.563103e-02
6.778500470366532e-07	2.568655e-02
6.785865463076686e-07	2.574213e-02
6.824475356440096e-07	2.603477e-02
6.901695143166916e-07	2.662528e-02
7.014346358181333e-07	2.749769e-02
7.142877424283769e-07	2.851036e-02
7.318169653778992e-07	2.992428e-02
7.590242325392571e-07	3.219713e-02
8.073640441858270e-07	3.642421e-02
8.583554389765279e-07	4.115130e-02
9.262248224589247e-07	4.780203e-02
9.549670694805591e-07	5.074259e-02
9.675690306556109e-07	5.207238e-02
9.778944192989077e-07	5.317907e-02
9.880270035333639e-07	5.427407e-02
9.880320951569437e-07	5.427462e-02
9.880422784041033e-07	5.427573e-02
9.880603184724214e-07	5.427769e-02
9.880673684123925e-07	5.427846e-02
9.880718551541884e-07	5.427895e-02
9.880759021830656e-07	5.427939e-02
9.880792380028198e-07	5.427976e-02
9.880828555193856e-07	5.428015e-02
9.880856585316082e-07	5.428045e-02
9.880874674566743e-07	5.428065e-02
9.880899199635032e-07	5.428092e-02
9.880900920322393e-07	5.428094e-02
9.880904361697115e-07	5.428097e-02
9.880911244446558e-07	5.428105e-02
9.880925009945442e-07	5.428120e-02
9.880952540943210e-07	5.428150e-02
9.881007602938748e-07	5.428210e-02
9.881117726929825e-07	5.428330e-02
9.881337974911978e-07	5.428569e-02
9.881556826727137e-07	5.428808e-02
9.881884169011251e-07	5.429164e-02
9.883268714530734e-07	5.430672e-02
9.959604763961201e-07	5.514186e-02
1.002471196044826e-06	5.585806e-02
1.003081576011892e-06	5.592547e-02
1.012464448384116e-06	5.696698e-02
1.013246876775056e-06	5.705425e-02
1.013250789295538e-06	5.705469e-02
1.013256725357194e-06	5.705535e-02
1.013257533540455e-06	5.705544e-02
1.013257906934985e-06	5.705548e-02
1.013258255440583e-06	5.705552e-02
1.013258710822581e-06	5.705557e-02
1.013259207715426e-06	5.705563e-02
1.013259694210966e-06	5.705568e-02
1.013260160600000e-06	5.705573e-02
1.013260626730249e-06	5.705579e-02
1.013260685294960e-06	5.705579e-02
1.013260802424380e-06	5.705580e-02
1.013260831706735e-06	5.705581e-02
1.013260890271446e-06	5.705582e-02
1.013261007400866e-06	5.705583e-02
1.013261241659707e-06	5.705585e-02
1.013261710177390e-06	5.705591e-02
1.013262252656285e-06	5.705597e-02
1.013262314379520e-06	5.705597e-02
1.013262437825990e-06	5.705599e-02
1.013262684718931e-06	5.705602e-02
1.013263178504812e-06	5.705607e-02
1.013263706826960e-06	5.705613e-02
1.013264205050179e-06	5.705618e-02
1.013264657170667e-06	5.705624e-02
1.013265153733041e-06	5.705629e-02
1.013265759785828e-06	5.705636e-02
1.013267374473801e-06	5.705654e-02
1.013268484284945e-06	5.705666e-02
1.013269966277520e-06	5.705683e-02
1.013269999234843e-06	5.705683e-02
1.013270065149489e-06	5.705684e-02
1.013270196978780e-06	5.705686e-02
1.013270460637364e-06	5.705688e-02
1.013270987954531e-06	5.705694e-02
1.013272042588865e-06	5.705706e-02
1.013274151857534e-06	5.705729e-02
1.013286807469544e-06	5.705871e-02
1.013303681618892e-06	5.706059e-02
1.013337429917587e-06	5.706436e-02
1.013404926514977e-06	5.707189e-02
1.013539919709757e-06	5.708696e-02
1.013540462123613e-06	5.708702e-02
1.013541546951325e-06	5.708714e-02
1.013543716606749e-06	5.708738e-02
1.013547925746638e-06	5.708785e-02
1.013556344026415e-06	5.708879e-02
1.013557380452101e-06	5.708890e-02
1.013559453303474e-06	5.708914e-02
1.013563599006220e-06	5.708960e-02
1.013567946145152e-06	5.709008e-02
1.013570714983403e-06	5.709039e-02
1.013572877183664e-06	5.709064e-02
1.013575334513746e-06	5.709091e-02
1.013578001865637e-06	5.709121e-02
1.013580418115248e-06	5.709148e-02
1.013580991285064e-06	5.709154e-02
1.013582137624694e-06	5.709167e-02
1.013584430303956e-06	5.709193e-02
1.013585003473771e-06	5.709199e-02
1.013586149813402e-06	5.709212e-02
1.013588442492664e-06	5.709237e-02
1.013588514138891e-06	5.709238e-02
1.013588657431344e-06	5.709239e-02
1.013588944016252e-06	5.709243e-02
1.013589517186067e-06	5.709249e-02
1.013590663525698e-06	5.709262e-02
1.013597541563483e-06	5.709339e-02
1.013606712280529e-06	5.709441e-02
1.013625053714622e-06	5.709646e-02
1.013661736582807e-06	5.710055e-02
1.013735102319177e-06	5.710874e-02
1.013859537719520e-06	5.712264e-02
1.013860171106785e-06	5.712271e-02
1.013861437881316e-06	5.712285e-02
1.013861807418654e-06	5.712289e-02
1.013862058341146e-06	5.712292e-02
1.013862458373048e-06	5.712296e-02
1.013862980158511e-06	5.712302e-02
1.013863476466602e-06	5.712308e-02
1.013863951701842e-06	5.712313e-02
1.013864407862250e-06	5.712318e-02
1.013864879093452e-06	5.712323e-02
1.013865347637615e-06	5.712328e-02
1.013865822249145e-06	5.712334e-02
1.013866290277383e-06	5.712339e-02
1.013866762223627e-06	5.712344e-02
1.013867230734721e-06	5.712350e-02
1.013867702531982e-06	5.712355e-02
1.013868171749721e-06	5.712360e-02
1.013868230666342e-06	5.712361e-02
1.013868348499584e-06	5.712362e-02
1.013868584166068e-06	5.712365e-02
1.013869055499036e-06	5.712370e-02
1.013869596347228e-06	5.712376e-02
1.013870090651975e-06	5.712381e-02
1.013870675821538e-06	5.712388e-02
1.013871347527377e-06	5.712396e-02
1.013872214211210e-06	5.712405e-02
1.013873253169338e-06	5.712417e-02
1.013874664643874e-06	5.712432e-02
1.013874903124959e-06	5.712435e-02
1.013875380087130e-06	5.712441e-02
1.013876334011472e-06	5.712451e-02
1.013878241860156e-06	5.712473e-02
1.013878718822327e-06	5.712478e-02
1.013884851193097e-06	5.712546e-02
1.013890983563867e-06	5.712615e-02
1.013897115934637e-06	5.712683e-02
1.013903248305406e-06	5.712752e-02
1.013909380676176e-06	5.712820e-02
1.013915513046946e-06	5.712889e-02
1.013921645417716e-06	5.712957e-02
1.013952170996658e-06	5.713298e-02
1.014013222154544e-06	5.713980e-02
1.014135324470314e-06	5.715343e-02
1.014179655076015e-06	5.715838e-02
1.014244080800805e-06	5.716558e-02
1.014276379255198e-06	5.716919e-02
1.014324590257562e-06	5.717457e-02
1.014376534170889e-06	5.718037e-02
1.014424798928449e-06	5.718577e-02
1.014470994783124e-06	5.719093e-02
1.014517290476157e-06	5.719610e-02
1.014564383345372e-06	5.720136e-02
1.014611575964919e-06	5.720663e-02
1.014658707670179e-06	5.721190e-02
1.014705681214428e-06	5.721715e-02
1.014758584089425e-06	5.722306e-02
1.014793843794054e-06	5.722700e-02
1.014840856733560e-06	5.723226e-02
1.014895011158133e-06	5.723831e-02
1.014990361637534e-06	5.724896e-02
1.015083279403758e-06	5.725935e-02
1.015182406077359e-06	5.727043e-02
1.015245149617367e-06	5.727745e-02
1.015319707917191e-06	5.728579e-02
1.015412200126647e-06	5.729613e-02
1.015528249695382e-06	5.730910e-02
1.015685724693189e-06	5.732672e-02
1.015912313699964e-06	5.735207e-02
1.016287993030362e-06	5.739410e-02
1.016772982067242e-06	5.744839e-02
1.017260784973758e-06	5.750302e-02
1.017781427148427e-06	5.756136e-02
1.018260853364907e-06	5.761510e-02
1.018762156874301e-06	5.767132e-02
1.019248184201395e-06	5.772586e-02
1.019758044507632e-06	5.778309e-02
1.020260151550712e-06	5.783949e-02
1.020785939185278e-06	5.789857e-02
1.021318192361002e-06	5.795840e-02
1.021888595521062e-06	5.802257e-02
1.022566840856777e-06	5.809890e-02
1.023391347813263e-06	5.819178e-02
1.024420862547769e-06	5.830785e-02
1.025741465200314e-06	5.845691e-02
1.027555543402054e-06	5.866200e-02
1.030266556678330e-06	5.896927e-02
1.040980309847269e-06	6.019099e-02
1.059907166585612e-06	6.237861e-02
1.079861676249943e-06	6.472582e-02
1.101279266840648e-06	6.729292e-02
1.104911537292096e-06	6.773277e-02
1.108543807743543e-06	6.817407e-02
1.112176078194991e-06	6.861683e-02
1.115808348646439e-06	6.906105e-02
1.119440619097887e-06	6.950673e-02
1.123072889549334e-06	6.995387e-02
1.126705160000782e-06	7.040247e-02
1.131541987663282e-06	7.100143e-02
1.131555586140890e-06	7.100312e-02
1.131582783096107e-06	7.100649e-02
1.131590643972414e-06	7.100747e-02
1.131594473756060e-06	7.100794e-02
1.131595689097353e-06	7.100809e-02
1.131596936431198e-06	7.100825e-02
1.131597898844629e-06	7.100837e-02
1.131602579342542e-06	7.100895e-02
1.131720081155555e-06	7.102355e-02
1.131837582968569e-06	7.103815e-02
1.131955084781583e-06	7.105275e-02
1.132072586594596e-06	7.106735e-02
1.132190088407610e-06	7.108195e-02
1.132307590220624e-06	7.109655e-02
1.132425092033637e-06	7.111116e-02
1.132741736371105e-06	7.115052e-02
1.133058380708573e-06	7.118989e-02
1.133375025046040e-06	7.122927e-02
1.133691669383508e-06	7.126866e-02
1.134008313720975e-06	7.130807e-02
1.134324958058443e-06	7.134748e-02
1.134641602395910e-06	7.138691e-02
1.134648050426055e-06	7.138771e-02
1.134769284033005e-06	7.140281e-02
1.134890517639955e-06	7.141791e-02
1.135011751246905e-06	7.143301e-02
1.135132984853856e-06	7.144811e-02
1.135254218460806e-06	7.146322e-02
1.135375452067756e-06	7.147832e-02
1.135496685674706e-06	7.149343e-02
1.135497989084400e-06	7.149360e-02
1.135498068078927e-06	7.149360e-02
1.135498231005139e-06	7.149363e-02
1.135498260628086e-06	7.149363e-02
1.135498265565244e-06	7.149363e-02
1.135498275439560e-06	7.149363e-02
1.135498295188192e-06	7.149363e-02
1.135498334685455e-06	7.149363e-02
1.135498416148561e-06	7.149365e-02
1.135498421085719e-06	7.149365e-02
1.135498430960035e-06	7.149365e-02
1.135498433428614e-06	7.149365e-02
1.135498438365772e-06	7.149365e-02
1.135498448240088e-06	7.149365e-02
1.135498467988719e-06	7.149366e-02
1.135498468065862e-06	7.149366e-02
1.135498468220149e-06	7.149366e-02
1.135498468528721e-06	7.149366e-02
1.135498469145866e-06	7.149366e-02
1.135498470380155e-06	7.149366e-02
1.135498472848734e-06	7.149366e-02
1.135498472925877e-06	7.149366e-02
1.135498473080164e-06	7.149366e-02
1.135498473388736e-06	7.149366e-02
1.135498473465879e-06	7.149366e-02
1.135498473620165e-06	7.149366e-02
1.135498473928738e-06	7.149366e-02
1.135498474545883e-06	7.149366e-02
1.135498475780172e-06	7.149366e-02
1.135498478248751e-06	7.149366e-02
1.135498478865896e-06	7.149366e-02
1.135498482568764e-06	7.149366e-02
1.135498497380238e-06	7.149366e-02
1.135498556626133e-06	7.149366e-02
1.135498635620660e-06	7.149367e-02
1.135499109587822e-06	7.149373e-02
1.135503533281329e-06	7.149428e-02
1.135844047070349e-06	7.153672e-02
1.136184560859369e-06	7.157918e-02
1.136525074648389e-06	7.162164e-02
1.136865588437410e-06	7.166413e-02
1.137206102226430e-06	7.170662e-02
1.137546616015450e-06	7.174913e-02
1.137887129804471e-06	7.179165e-02
1.138930764252102e-06	7.192207e-02
1.141018033147366e-06	7.218336e-02
1.145192570937894e-06	7.270741e-02
1.151309540156250e-06	7.347845e-02
1.158268527085033e-06	7.436057e-02
1.167873378522793e-06	7.558502e-02
1.172385802598580e-06	7.616318e-02
1.181927574530538e-06	7.739431e-02
1.185224175383832e-06	7.782227e-02
1.191817377090420e-06	7.868272e-02
1.205003780503596e-06	8.042086e-02
1.231376587329949e-06	8.393613e-02
1.241162478406918e-06	8.525562e-02
1.250320856573674e-06	8.650308e-02
1.257048600773915e-06	8.742538e-02
1.264689873633842e-06	8.848073e-02
1.279972419353698e-06	9.060771e-02
1.290802494682830e-06	9.212708e-02
1.299409306232168e-06	9.334328e-02
1.303240661221989e-06	9.388740e-02
1.306949717086045e-06	9.441600e-02
1.309891684395928e-06	9.483635e-02
1.313105712116664e-06	9.529693e-02
1.319533767558138e-06	9.622239e-02
1.332389878441085e-06	9.808958e-02
1.358102100206979e-06	1.018608e-01
1.367768740651862e-06	1.032931e-01
1.376807170220956e-06	1.046444e-01
