vreg1	V(vo)
9.559999999999882e+000	3.328602e+000
9.579999999999881e+000	3.328655e+000
9.599999999999881e+000	3.328709e+000
9.619999999999880e+000	3.328763e+000
9.639999999999880e+000	3.328817e+000
9.659999999999879e+000	3.328871e+000
9.679999999999879e+000	3.328925e+000
9.699999999999879e+000	3.328979e+000
9.719999999999878e+000	3.329033e+000
9.739999999999878e+000	3.329087e+000
9.759999999999877e+000	3.329140e+000
9.779999999999877e+000	3.329194e+000
9.799999999999876e+000	3.329248e+000
9.819999999999876e+000	3.329302e+000
9.839999999999876e+000	3.329355e+000
9.859999999999875e+000	3.329409e+000
9.879999999999875e+000	3.329463e+000
9.899999999999874e+000	3.329516e+000
9.919999999999874e+000	3.329570e+000
9.939999999999873e+000	3.329624e+000
9.959999999999873e+000	3.329677e+000
9.979999999999873e+000	3.329731e+000
9.999999999999872e+000	3.329785e+000
1.001999999999987e+001	3.329838e+000
1.003999999999987e+001	3.329892e+000
1.005999999999987e+001	3.329945e+000
1.007999999999987e+001	3.329999e+000
1.009999999999987e+001	3.330053e+000
1.011999999999987e+001	3.330106e+000
1.013999999999987e+001	3.330160e+000
1.015999999999987e+001	3.330213e+000
1.017999999999987e+001	3.330266e+000
1.019999999999987e+001	3.330320e+000
1.021999999999987e+001	3.330374e+000
1.023999999999987e+001	3.330427e+000
1.025999999999987e+001	3.330480e+000
1.027999999999987e+001	3.330534e+000
1.029999999999987e+001	3.330587e+000
1.031999999999987e+001	3.330641e+000
1.033999999999987e+001	3.330694e+000
1.035999999999986e+001	3.330747e+000
1.037999999999986e+001	3.330801e+000
1.039999999999986e+001	3.330854e+000
1.041999999999986e+001	3.330907e+000
1.043999999999986e+001	3.330961e+000
1.045999999999986e+001	3.331014e+000
1.047999999999986e+001	3.331067e+000
1.049999999999986e+001	3.331120e+000
1.051999999999986e+001	3.331174e+000
1.053999999999986e+001	3.331227e+000
1.055999999999986e+001	3.331280e+000
1.057999999999986e+001	3.331333e+000
