vreg1	V(vo)	I(Rl)
1.027999999999987e+001	3.302989e+000	3.302988e-001
1.029999999999987e+001	3.303042e+000	3.303042e-001
1.031999999999987e+001	3.303095e+000	3.303095e-001
1.033999999999987e+001	3.303149e+000	3.303148e-001
1.035999999999986e+001	3.303202e+000	3.303202e-001
1.037999999999986e+001	3.303255e+000	3.303255e-001
1.039999999999986e+001	3.303308e+000	3.303308e-001
1.041999999999986e+001	3.303362e+000	3.303362e-001
1.043999999999986e+001	3.303415e+000	3.303415e-001
1.045999999999986e+001	3.303468e+000	3.303469e-001
1.047999999999986e+001	3.303522e+000	3.303522e-001
1.049999999999986e+001	3.303575e+000	3.303575e-001
1.051999999999986e+001	3.303628e+000	3.303628e-001
1.053999999999986e+001	3.303681e+000	3.303681e-001
1.055999999999986e+001	3.303735e+000	3.303735e-001
1.057999999999986e+001	3.303788e+000	3.303788e-001
1.059999999999986e+001	3.303841e+000	3.303841e-001
1.061999999999986e+001	3.303894e+000	3.303894e-001
1.063999999999986e+001	3.303947e+000	3.303947e-001
1.065999999999986e+001	3.304001e+000	3.304000e-001
1.067999999999986e+001	3.304054e+000	3.304054e-001
1.069999999999986e+001	3.304107e+000	3.304107e-001
1.071999999999986e+001	3.304160e+000	3.304160e-001
1.073999999999986e+001	3.304213e+000	3.304213e-001
1.075999999999986e+001	3.304266e+000	3.304266e-001
1.077999999999986e+001	3.304319e+000	3.304319e-001
1.079999999999986e+001	3.304372e+000	3.304372e-001
1.081999999999986e+001	3.304425e+000	3.304425e-001
1.083999999999985e+001	3.304478e+000	3.304478e-001
1.085999999999985e+001	3.304531e+000	3.304531e-001
1.087999999999985e+001	3.304584e+000	3.304584e-001
1.089999999999985e+001	3.304637e+000	3.304637e-001
1.091999999999985e+001	3.304690e+000	3.304690e-001
1.093999999999985e+001	3.304743e+000	3.304743e-001
1.095999999999985e+001	3.304796e+000	3.304796e-001
1.097999999999985e+001	3.304849e+000	3.304849e-001
1.099999999999985e+001	3.304902e+000	3.304902e-001
1.101999999999985e+001	3.304955e+000	3.304955e-001
1.103999999999985e+001	3.305008e+000	3.305008e-001
1.105999999999985e+001	3.305061e+000	3.305061e-001
1.107999999999985e+001	3.305114e+000	3.305114e-001
1.109999999999985e+001	3.305167e+000	3.305167e-001
1.111999999999985e+001	3.305220e+000	3.305220e-001
1.113999999999985e+001	3.305273e+000	3.305272e-001
1.115999999999985e+001	3.305325e+000	3.305326e-001
1.117999999999985e+001	3.305378e+000	3.305378e-001
1.119999999999985e+001	3.305431e+000	3.305431e-001
1.121999999999985e+001	3.305484e+000	3.305484e-001
